,responsibility
1610,"Monitor App features and functions to drive customer acquisition, development, and retention"
1611,"Manage communications on attracting, developing, and retaining customers"
1612,"Drive sales through customer loyalty offerings, store sales, marketing, and social commerce"
1613,Work with the merchandising team on product/promotion/price offerings
1614,Collaborate with design team to create compelling visuals
1615,Collaborate with the copywriter to compose engaging copy and content
1616,Prepare sales & marketing material for client
1617,Show client house viewing / site viewing
1618,Brief about house purchasing process
1619,Performing One To One Branding Awareness Presentations for B2B/B2C Sales and Events Campaigns
1620,Meeting each customer by office appointment basis and explaining inquiries in the office
1621,Showing customers around the company's facilities
1622,Maintaining relationships of existing client accounts
1623,Interacting with people
1624,Flexible paperwork management with 50% work from home option
1625,Contribute ideas and proposals for marketing strategies
1626,Assist in organizing online and offline events
1627,Participate in leads generation and conversion activities
1628,Provide relevant educational and admission advice
1629,Handle inquiries and provide support services to prospects and students
1630,Support regional sales targets
1631,"Develop, design, plan, and execute shoots and productions and edit social media assets for Facebook, Instagram, YouTube, and other emerging social media channels."
1632,"Plan and produce short-form videos for TikTok, IG Reels, Facebook Stories, and other social media platforms."
1633,Responsible for creative production to include short video formats as well as static image content.
1634,Use rough sketches for planning and scheduling video production.
1635,Convert static visuals to multiple resolution video format.
1636,"Hold regular meetings with the team to discuss characters, products, and scenes. Brainstorm with the team on creative concepts and bring that vision to reality."
1637,"Provide guidance on characterization and the movements needed in each scene, plan the framing and composition of each scene, and operate camera movement."
1638,"Create a 'rough cut' (or assembly edit) of the program/film and determine the exact cutting for the next and final stages, then reorder and tweak the content to ensure the logical sequencing and smooth running of the video."
1639,Perform video production and editing and also suggest or select music.
1640,"Plans, develops and executes Service Excellence strategies and programmes through setting up of customer service systems, developing service blue prints and standards, monitoring and improving service delivery"
1641,Analyses customer service related data to draw insights for designing of effective service excellence policies and programmes
1642,"Support/implement targeted marketing campaigns to increase customer loyalty, retention and satisfaction"
1643,Work closely with sector agencies and industry partners on industry development/sensing
1644,Track programmes progress updates and industry related information/statistics
1645,"Work with internal and external partners to support outreach, marketing and networking events that will increase awareness and adoption of best practices/programs"
1646,Provide timely administrative reports to the management
1647,"Plan, coordinate, and implement effective marketing programs and strategies"
1648,Conduct market studies and formulate effective marketing strategies and proposals
1649,Drive brand awareness and lead generation efforts
1650,Measure and track impact of marketing campaigns across various channels
1651,Assess performance against benchmarks and take corrective actions
1652,Manage digital channels and identify high-impact emerging digital channels
1653,"Liaise with advertising agencies, financial institutions, and lawyers"
1654,Assist in monitoring and supervising a team of sales personnel
1655,Responsible for development of A&P materials and statutory authorities submissions
1656,"Responsible for the NiM (Nestle in Market) rollout of the Learning Global and Regional above the market solutions, with particular focus on BBNW (Brand Building the Nestle Way)"
1657,Will be the 'voice of the Market' within the Nestlé Learning and Capability building global community
1658,"Understands and collects the business needs of today and tomorrow to be translated in functional competency development plans, frameworks, and L&D solutions"
1659,Supports business units in effectively applying BBNW to achieve their business objectives
1660,"Understand, assess and report learning and capability needs and priorities of the marketing team, based on the local business and people strategies"
1661,"Lead the design, the build and the delivery of the agreed selected 'local' Learning & Development portfolio based on market needs, leveraging the regional resources and capabilities"
1662,"Be part of the global Learning and Capability building functional community, actively collaborating with ideas on new solutions, external benchmarks, learning technologies"
1663,Support & collaborate with Functional Leaders and SMEs in the design/deployment of their Learning & Development solutions and ensure the continuous update of the related content in line with the evolution of the business needs of the marketing community
1664,Support Talent Acquisition in the delivery of local Induction and onboarding programs
1665,Support in the adoption of BBNW Brand Fundamentals
1666,Drive sales revenue & profit target
1667,"Handle product roadmaps and lifecycle, pricing and island-wide promotion"
1668,Lead go-to-market strategies for new categories
1669,"Manage 3 month sales / P&L forecasting, expenses plan"
1670,Responsible for ensuring detailed P&L management for all promotion requests
1671,"Work closely with functional teams to properly allocate marketing expenses, sales allowance according to business needs"
1672,Planning with various functional teams (Sales / Marcom / Retail) to ensure on-time and smooth execution of campaigns
1673,Work closely with online team to build campaigns and improvement plans to achieve online sales target
1674,Demand Planning with Key Account Managers towards the achievement of sales target and KPI
1675,"Work closely with SCM manager to ensure accurate sell-in/out forecast, healthy channel WOS and manage aging inventory"
1676,Any other Ad Hoc duties and reporting
1677,"Build and maintain connections with Architects, Interior Designers, and Contractors"
1678,Negotiate business deals
1679,Manage residential and commercial interior design projects
1680,Travel outstation and occasionally overseas
1681,Achieve sales targets
1682,"Achieving building or property leasing targets and supporting other marketing activities such as canvasing, creating offers, telemarketing, site visits, and other marketing activities"
1683,Following the company's marketing schedule
1684,Assisting in monitoring payment progress and leasing agreements
1685,Assisting in other marketing-related activities
1686,Providing services to consumers interested in buying or renting property
1687,Offering products and services to prospective customers
1688,Posting ads online and participating in property exhibition events
1689,Installing banners and other marketing activities
1690,"Acting on sales enquiries via calls, email, and walk-in customers"
1691,Achieving and maximizing sales for company’s project
1692,Providing follow up and value-added service to new and existing customers
1693,"Proactively liaising with bankers, lawyers, and government institutions for clients’ loan applications and related matters"
1694,Handling sales documentation such as Sales and Purchase Agreement & Loan Agreement
1695,"Contributing to the Marketing and Planning of the company’s launches, events, roadshows, and exhibitions"
1696,Bringing customers to site visits
1697,Managing sales & marketing posting in the social media platform
1698,Carrying out ad-hoc tasks as directed by the Management
1699,"Plan, develop and implement effective marketing communications campaign"
1700,"Monitoring ongoing campaign spend against the budget, keeping accurate records and highlighting where variances occur"
1701,Undertake detailed ongoing analysis of marketing campaigns to ensure targets are met
1702,"Assist in the production of ongoing competitor analysis and reporting, with particular references to pricing, presentation and promotion"
1703,Receive and report all customer-related complaints/feedback
1704,"Document all complaints into the Customer Feedback Database, reporting and seeing through to completion"
1705,Escalate all unresolved issues/complaints to Area Managers/General Manager
1706,Explore ways to better the customer experiences through improved service delivery
1707,Analyze and report on sales performance and other useful information to the Management for its decision-making
1708,Other duties assigned by the company
1709,"Responsible to manage shopee /lazada platform with post items, shopee ads, packing & delivery, customer services"
1710,Keep tracking the delivery status and 24-hour response with customer enquire in each platform
1711,"Plan, manage, execute and optimize company’s digital marketing assets and campaigns on various platforms such as FB, Instagram, Google, SEO, Display Marketing etc."
1712,Understanding and deep knowledge of capabilities of Ad serving
1713,"Experience on operate the Online Platforms such as FB Ad Manager, Google Ads"
1714,"Analyze metrics and data to make recommendations that cost-efficient via FB Ad Manager, Google Ads, Google Analytics and others"
1715,Keep working closely with customer to close sales
1716,Manage Client feedback and proactively make adjustments to projects when needed
1717,"Making photo and video of product then publish on Facebook page, Shopee and Lazada"
1718,"Devising impactful digital marketing strategies, analyzing customer's consume behavior with Marketing Manager"
1719,Assist in the development of marketing and communications strategies and initiatives
1720,Manage coordination of marketing and communications campaigns/activities to leverage reach/results
1721,Monitor and review the response rates in order to improve and take corrective measures
1722,Update weekly marketing communications report
1723,Prepare a quarterly promotional plan with a primary marketing campaign each month
1724,Familiar with brand guidelines as brand custodian
1725,Develop social media content calendar for various platforms
1726,Work closely with Graphic Designer to create social media content
1727,Copywriting social media posts for approval
1728,Scheduling social media posts
1729,"Creating InstaReels, TikTok videos weekly"
1730,Respond to enquiries on social media pages
1731,"Plan and execute learning, lifestyle, and corporate events"
1732,Listing on all the necessary event listing platforms
1733,Attract new clients and partners while engaging the growing community
1734,Brief Graphic Designer to design collaterals for online and offline events
1735,Coordinate production of event materials
1736,Manage all event activities for the company in line with the business plan and forecasts
1737,"Interact with customers, especially members, to gather feedback on events, membership, and more"
1738,Previous experience as an Events Representative or Executive for 3 years
1739,Experienced in offline and online event planning
1740,Passionate about sales and marketing
1741,Goal-oriented with experience in working with and achieving targets
1742,Outstanding communication and interpersonal skills
1743,Excellent organizational and time management skills
1744,Strategic thinker paying attention to details
1745,Relationship and Networking aptitude
1746,Problem-solving and negotiation skills
1747,Great multitasking skills
1748,Great written and verbal communication skills
1749,"Ability to thrive in a dynamic, constantly changing work environment"
1750,Creating and posting posts and articles on the company’s website
1751,Create and distribute marketing copy to advertise our company and products
1752,Conduct keyword research and use SEO guidelines to optimize content
1753,Promote content on social networks and monitor engagement (e.g. comments and shares)
1754,Coordinate with marketing and design teams to illustrate articles
1755,Create & prepare posters for daily posting
1756,Shooting & editing videos or posters for posting purposes
1757,Perform any ad-hoc task when required
1758,Develop the overall digital marketing strategy for all existing and new clients
1759,"Develop engaging, creative, innovative content for regularly scheduled posts that capture audiences and promote brand-focused messages"
1760,"Manage and execute ads on social media such as Facebook, Instagram, LinkedIn, and etc."
1761,Provide periodic updates to all clients on digital marketing activities
1762,Establish clients’ social media presences to boost their brand awareness and increase online traffic to their businesses
1763,Analyze social media campaigns with tracking systems to gather visitor data and determine efficacy and areas for social media campaign improvement
1764,Monitor and develop monthly reports on competitor activity within digital media spaces
1765,"Work with in-house designers to develop posters, online artworks, and physical collaterals"
1766,"Plan, execute, and organize product launches, events, campaigns"
1767,Project leader and host live broadcast channels
1768,Perform market analysis and research on competition
1769,Implement marketing and promotional plans in a fast-paced and high-pressure environment
1770,Provide training materials and deliver training according to schedule and needs
1771,Conduct market research to evaluate market conditions and practices
1772,Support the marketing team in daily administrative tasks
1773,Execute digital marketing and advertising promotional activities
1774,Create unique selling propositions and mechanisms
1775,Responsible for product forecasting and ordering schedule to meet sales objectives
1776,"Assist in handling product roadshows, events, and other marketing activities"
1777,Manage and update company databases and customer relationship management systems
1778,Assist in organizing marketing events
1779,Create detailed reports with research findings and competitor analysis to inform marketing strategies
1780,Identify customers’ need and suggest suitable travel packages
1781,"Manage company social media accounts-Design artworks, prepare copy writing and posting"
1782,Perform administration work related to tour operation and planning
1783,"Design, build and maintain social media presence"
1784,"Conceptualize, design and layout marketing collaterals"
1785,Create social media visuals and videos
1786,Manage social media channels and provide timely replies
1787,Support and implement Integrated Marketing Campaign strategies
1788,Custodian of lead database
1789,Create email drips to effectively interest and engage target audience
1790,Update information on website and ensure factual correctness
1791,Adhere to SEO best practices
1792,"Execute digital marketing campaigns including SEO / SEM, email marketing, Google Ads, etc."
1793,Measure and report digital marketing campaign performance
1794,Provide intermittent digital marketing reports on efficacy of ad campaigns
1795,Provide social media and media monitoring reports
1796,Provide event support including photography and event management
1797,Provide administrative support by organizing and archiving visual assets
1798,Assist with team’s budget and invoice management
1799,Source and develop client referrals.
1800,Understand customer requirements and present appropriately to make a sale.
1801,Prepare official quotation for customers.
1802,Prepare confirmation of orders for customers.
1803,Develop and maintain sales and promotional materials.
1804,Plan and conduct direct marketing activities.
1805,Make sales calls to new and existing clients.
1806,Attend product training.
1807,"Respond to sales inquiries and concerns by phone, electronically or in person."
1808,Ensure customer service satisfaction and good client relationships through follow-up after sales activity.
1809,Negotiate the terms of an agreement and close sales.
1810,"Review own sales performance, aiming to meet or exceed targets."
1811,Notify sales forecast to top management on a monthly basis.
1812,Perform other duties as required.
1813,"Assist with conceptualising, developing and implementing strategic, tactical creative plans to drive sales and ensure brand growth through various marketing plans"
1814,Handle different social media platforms of the company
1815,"Track, monitor, review results with Sales Team to evaluate effectiveness and execution methods of marketing campaigns"
1816,Maintain awareness of market trends and disseminate information appropriately to the sales team
1817,Create collateral for exhibitions
1818,Support in lead generation and fine-tuning leads quality
1819,Design and maintain the SNS and website
1820,"Plan, manage and execute campaigns focused on increasing traffic and sales across e-commerce marketplaces such as website (Axquisite), Shopee, Lazada, FairPrice Online, Qoo10, Amazon, GrabMart, PandaMart and more"
1821,"Responsible for maintaining and updating the company’s website, social media and e-commerce marketplaces while ensuring all content (pages, products and prices) are displayed accurately"
1822,Prepare and upload product listing including content for various E-commerce platforms as well as the company's website
1823,Receive and respond to E-commerce customer inquiries and concerns
1824,Manage E-commerce customer's comments and reviews
